participante;I1;I2;I3;I4;I5;I6;I7;I8;I9;I10;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;I32;I33;I34;I35;I36;I37;I38;I39;I40;I41;I42;I43;I44;I45;I46;I47;I48;I49;I50;I51;I52;I53;I54;I55;I56;I57;I58;I59;I60;I61;I62;I63;I64;I65;I66;I67;I68;I69;I70;I71;I72;I73;I74;I75;practica_1;practica_2;practica_3;final
P81;4;7;4;7;7;7;7;7;7;7;7;7;4;7;7;7;4;7;7;7;6;7;3;7;7;7;7;1;7;7;7;7;5;7;7;7;7;7;7;5;7;7;7;7;7;7;7;4;4;7;7;7;7;7;7;4;7;7;7;7;7;7;7;7;7;7;7;4;7;7;7;7;7;7;7;4.8;5.0;5.0;2
P82;4;6;7;5;6;5;4;4;5;5;5;4;6;5;5;5;5;6;5;4;4;5;5;6;4;5;4;4;4;5;4;5;6;5;4;4;5;5;5;5;5;5;5;4;5;5;5;3;5;6;6;6;7;5;5;7;7;7;6;5;5;6;6;7;7;7;7;4;7;7;7;7;7;7;7;3.0;4.5;4.7;1
P83;1;5;7;7;6;6;6;1;5;1;4;1;1;1;4;7;1;1;6;1;7;5;4;6;7;7;4;1;5;7;7;4;5;4;1;6;1;6;3;6;5;7;7;4;5;6;6;5;7;6;7;5;5;6;7;7;6;7;2;7;7;7;6;1;6;7;7;2;2;7;6;1;6;6;6;5.0;3.7;2.5;0
P84;2;7;6;6;6;7;3;4;3;1;6;6;6;2;6;7;2;3;5;2;2;7;7;6;2;7;5;2;3;6;6;5;6;5;3;6;6;4;6;7;2;6;6;2;6;4;6;6;3;2;6;7;4;7;7;6;6;4;3;7;7;2;7;7;7;7;7;3;7;6;7;2;4;6;6;4.5;3.7;5.0;1
P85;4;5;6;3;5;5;3;4;5;2;3;3;5;4;4;6;2;5;5;4;3;5;5;6;6;5;3;4;5;3;4;5;6;3;2;4;5;6;6;5;5;3;3;2;3;6;6;7;6;4;5;7;2;6;6;7;6;7;5;6;5;5;6;7;5;6;6;5;6;4;6;7;5;6;5;1.8;5.0;5.0;1
P86;5;6;2;7;6;6;6;4;2;2;4;6;1;3;6;6;1;1;6;4;6;7;5;3;6;6;7;2;6;7;6;4;2;4;5;5;2;5;1;5;6;6;5;6;3;5;7;2;5;6;6;5;2;6;6;5;7;6;6;6;7;4;7;3;6;6;5;4;6;3;5;2;6;3;5;3.5;4.3;4.6;2
P87;2;5;4;6;5;3;4;4;6;2;3;4;6;3;3;4;3;6;4;3;3;5;4;3;3;5;3;3;4;6;6;4;6;4;3;5;5;6;6;5;4;5;5;3;3;3;6;4;5;4;3;6;5;6;6;5;4;4;6;3;4;6;6;5;5;5;6;4;6;6;5;6;5;6;4;0.5;5.0;5.0;2
P88;6;7;4;7;7;6;6;6;5;1;3;6;1;1;6;5;1;1;5;3;6;6;7;6;6;5;6;2;5;6;6;6;2;6;3;5;5;5;2;6;4;4;6;7;5;6;6;3;6;7;7;7;7;7;7;7;5;7;7;6;7;7;7;7;7;7;6;6;7;7;7;5;7;7;7;4.6;5.0;5.0;2
P89;5;4;7;7;7;3;5;2;7;5;5;4;7;1;6;5;6;7;6;4;6;3;5;3;5;5;5;1;2;7;3;5;7;5;4;3;1;2;6;5;3;5;6;3;3;4;6;5;3;5;3;3;1;6;5;5;6;2;2;3;5;4;6;6;5;5;4;5;7;4;6;6;3;3;4;4.3;4.7;5.0;1
P90;4;5;3;7;5;5;2;2;2;5;5;3;3;3;2;5;2;2;5;2;2;3;7;5;5;3;5;2;2;3;5;2;3;3;2;3;3;5;3;3;3;3;5;3;2;3;7;7;7;3;5;5;5;7;7;5;5;5;3;5;7;5;7;7;5;7;7;5;5;7;7;5;3;5;5;3.0;2.7;2.5;1
P91;4;6;4;6;5;5;5;7;5;4;5;5;2;5;4;6;2;2;5;3;5;4;4;6;6;5;4;2;5;6;6;4;3;4;4;5;4;6;5;6;5;4;6;6;4;6;6;5;6;6;5;6;5;6;7;6;6;6;6;5;6;6;6;5;7;7;7;5;6;6;6;4;6;6;6;5.0;5.0;5.0;2
P92;3;6;5;4;7;5;5;6;4;5;5;5;1;3;4;5;4;1;5;4;5;4;6;6;5;6;5;4;5;4;6;5;5;5;5;5;5;6;6;6;6;5;5;4;5;6;6;4;6;6;6;6;5;6;6;4;6;4;5;5;6;6;6;5;5;6;6;5;6;6;6;5;6;6;6;5.0;5.0;5.0;2
P93;1;6;7;6;5;4;5;3;4;1;2;5;4;1;5;6;1;2;5;3;3;5;5;2;6;5;6;1;5;5;5;3;6;3;2;5;1;4;7;6;3;5;7;4;5;5;7;6;6;5;1;4;7;7;7;4;6;1;7;3;5;5;6;7;5;5;5;5;6;5;7;5;5;5;4;4.0;4.3;5.0;1
P94;4;6;7;7;7;5;4;5;3;7;5;5;4;6;3;5;3;4;3;3;4;3;2;5;5;5;5;4;3;7;3;2;6;4;4;5;4;4;5;5;4;6;3;6;5;4;5;5;4;5;3;5;5;4;6;5;5;4;7;3;5;4;5;7;7;7;7;5;6;7;7;5;4;7;6;3.3;5.0;4.7;1
P95;7;7;6;6;6;5;5;7;4;6;7;5;4;7;5;6;5;5;5;4;5;6;7;5;7;6;6;4;6;6;6;6;7;5;7;5;6;6;7;6;6;6;7;7;6;6;7;2;4;7;6;7;7;6;7;6;7;7;6;6;7;6;6;7;7;7;7;6;6;6;6;2;6;6;7;1.8;5.0;5.0;1
P96;4;6;6;7;6;7;7;6;6;1;3;6;1;1;5;6;3;5;6;1;7;1;3;7;6;7;7;4;7;7;7;6;5;5;1;6;1;4;6;6;3;1;7;7;7;6;4;1;6;7;6;4;5;6;6;4;6;5;7;7;7;6;4;3;6;6;7;4;7;6;6;5;6;4;7;5.0;5.0;5.0;2
P97;7;7;4;7;7;7;7;4;7;7;7;4;2;6;6;6;6;4;5;4;5;2;4;5;5;5;2;1;4;7;5;7;1;7;7;4;7;6;3;5;7;7;3;5;7;4;7;4;7;7;7;7;7;7;7;5;7;7;2;3;4;7;7;5;5;7;7;5;5;7;7;3;7;7;7;4.8;5.0;5.0;2
P98;5;6;6;6;4;4;7;1;6;1;5;5;4;4;6;6;5;3;4;4;7;5;4;6;4;6;5;6;6;5;5;6;6;6;5;7;4;6;7;5;5;6;7;4;4;6;6;3;6;7;5;6;5;6;6;7;6;4;7;6;6;6;6;7;5;7;6;1;5;6;6;4;7;6;7;4.5;5.0;0.3;1
P99;1;5;6;1;6;5;4;7;5;1;1;4;5;4;5;4;1;2;6;2;3;6;3;5;7;7;3;1;6;1;6;2;7;3;3;3;4;3;7;6;3;2;7;5;4;7;4;1;7;7;7;1;2;7;7;2;7;7;1;5;7;7;5;3;7;7;7;5;5;7;7;4;7;3;6;5.0;4.4;3.4;1
P100;4;3;3;3;3;4;4;3;4;3;3;4;4;4;3;4;4;4;4;3;5;4;4;2;3;4;4;4;4;6;3;4;3;4;4;3;3;4;5;4;4;4;2;3;4;4;4;5;3;3;4;4;6;6;6;6;4;5;6;5;5;4;6;6;6;6;5;5;5;3;4;5;4;5;5;0.0;0.0;0.0;0
P101;3;5;6;6;5;4;4;6;7;2;3;4;5;4;3;5;3;6;6;5;4;5;3;6;5;5;5;4;6;5;4;5;5;4;4;4;5;6;3;4;5;6;6;5;4;4;4;4;5;4;5;4;5;5;4;6;5;4;5;4;5;4;5;5;4;5;3;5;4;4;5;4;4;3;3;3.8;3.3;5.0;1
P102;3;6;6;6;7;5;6;3;6;3;6;5;1;3;4;6;2;1;6;4;3;2;3;7;7;7;2;3;4;6;7;3;7;4;6;5;3;6;7;6;5;1;6;6;3;5;7;2;7;7;7;7;4;7;7;7;7;7;7;7;6;7;7;3;7;7;7;4;7;7;7;1;7;7;7;5.0;5.0;5.0;2
P103;1;6;5;7;5;4;4;6;2;3;4;3;5;6;6;4;2;2;2;2;5;6;5;4;4;5;5;3;4;7;6;6;1;6;4;5;5;4;1;5;6;5;6;5;4;5;5;7;7;4;4;3;7;7;7;1;4;1;4;4;4;4;6;5;1;3;6;5;6;6;6;4;3;3;3;5.0;5.0;5.0;2
P104;2;5;2;5;2;2;2;1;1;4;1;2;1;1;2;4;2;1;3;2;3;4;6;6;4;5;4;5;5;4;6;4;2;4;5;3;5;4;3;5;5;4;5;4;3;3;4;4;5;5;2;4;3;6;5;6;5;2;5;3;3;5;6;5;4;5;6;4;6;5;4;3;4;1;5;3.3;2.2;0.5;0
P105;3;5;6;6;6;4;5;4;5;4;2;4;5;4;3;6;4;5;6;2;3;4;4;3;4;5;6;3;5;5;6;6;6;3;2;3;4;5;5;5;2;2;5;2;4;6;6;3;6;6;6;3;4;6;6;4;5;2;3;5;5;6;5;4;4;4;6;6;5;5;5;5;5;2;4;4.0;5.0;5.0;2
P106;2;7;3;6;7;6;3;4;5;1;5;7;1;2;5;7;1;1;6;2;2;5;1;6;7;7;4;1;2;7;6;1;1;2;5;6;3;6;2;7;6;5;6;1;5;7;7;3;7;5;6;7;7;7;6;7;6;6;7;6;6;7;7;6;6;7;7;5;7;7;7;7;6;3;7;5.0;3.9;4.2;1
P107;4;5;7;6;7;6;6;7;5;5;6;7;3;6;5;6;4;3;7;5;6;6;5;5;6;6;5;4;6;6;6;5;6;6;6;5;6;6;6;6;5;6;6;5;5;4;6;4;7;5;4;6;4;6;7;5;5;6;5;4;5;7;7;4;5;7;6;4;7;6;6;4;5;4;5;3.0;5.0;2.5;1
P108;1;6;6;6;5;6;5;6;6;4;5;4;3;5;4;5;4;5;5;5;5;5;5;6;7;6;6;5;5;6;6;5;4;5;5;5;5;5;5;6;5;5;5;5;5;5;5;5;6;6;6;7;5;5;5;5;5;6;4;4;5;6;5;3;6;6;6;5;5;6;5;2;5;5;5;3.9;3.9;3.0;2
P109;3;7;6;6;7;6;7;6;3;4;5;5;3;4;4;5;2;3;5;4;7;6;3;7;6;7;6;3;6;6;6;6;4;6;4;5;4;5;3;5;3;5;5;5;6;6;7;5;7;7;6;6;2;7;7;7;7;7;4;6;6;7;7;3;7;7;7;7;7;7;7;2;7;5;7;5.0;5.0;5.0;2
P110;3;4;5;6;5;2;5;2;3;2;4;3;2;3;3;3;2;2;4;4;3;4;3;5;5;5;5;2;4;5;5;5;3;4;4;4;5;3;3;4;4;2;3;3;4;4;4;2;4;5;5;5;2;5;5;5;6;5;5;5;5;6;5;5;6;5;5;5;5;5;5;3;5;4;5;5.0;2.5;0.0;1
P111;5;7;5;7;7;7;7;7;7;7;7;7;4;7;5;7;7;4;7;5;4;7;5;7;7;7;7;7;5;7;7;5;5;5;7;7;7;7;7;7;7;6;7;7;5;7;7;3;7;7;7;7;7;7;7;7;7;7;5;7;7;7;7;7;7;7;7;5;6;7;7;5;7;7;7;4.4;5.0;3.4;1
P112;4;6;7;7;7;7;5;6;7;4;5;5;6;5;4;5;6;7;5;4;4;5;5;2;7;6;6;5;5;7;6;5;7;5;5;5;7;6;7;6;6;7;6;5;6;5;6;2;5;5;6;6;7;7;6;7;6;6;7;6;6;6;6;7;6;7;6;6;6;2;6;7;6;6;5;1.3;3.9;1.8;1
P113;4;5;4;4;5;5;4;4;4;4;4;5;4;4;5;4;4;4;4;4;5;4;4;5;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;5;5;5;7;5;3;4;4;7;7;5;7;5;6;7;5;4;4;5;7;7;7;5;7;5;5;5;7;5;7;7;3.9;3.6;4.7;2
P114;5;6;7;7;5;5;6;5;5;4;5;4;1;6;5;7;5;3;6;5;5;7;6;5;6;7;7;6;5;6;4;4;5;5;4;6;5;6;5;5;5;5;5;6;7;5;7;5;6;7;7;7;6;7;6;5;6;5;5;4;4;7;5;6;7;7;7;5;4;7;7;5;7;3;7;5.0;2.5;2.5;1
P115;5;6;2;7;6;5;5;4;7;2;4;2;1;3;6;5;2;3;4;4;3;5;4;7;3;5;2;2;5;7;7;6;3;4;3;6;6;3;6;6;3;2;5;3;5;3;7;1;7;5;2;6;7;7;7;7;4;7;7;4;4;6;7;7;7;7;7;4;6;6;7;7;4;6;5;4.7;5.0;4.2;0
P116;4;6;5;6;5;5;5;5;5;4;4;5;3;4;4;6;3;3;5;4;5;5;5;5;5;6;5;3;5;5;6;5;4;5;5;5;4;5;5;6;5;5;6;5;5;5;6;4;6;5;5;5;5;6;6;5;6;5;5;5;6;6;6;5;6;6;6;5;6;6;6;5;6;5;6;4.1;3.9;3.0;1
P117;3;5;4;6;5;6;5;4;5;3;5;5;4;4;4;7;2;4;5;3;5;4;5;4;6;7;5;2;2;6;5;2;6;3;6;6;3;7;7;7;5;4;6;4;4;5;5;2;4;6;4;6;7;6;5;7;6;5;7;6;4;5;6;6;6;6;5;5;6;5;5;5;6;2;5;4.2;3.9;3.0;1
P118;6;2;1;7;6;5;7;3;2;1;5;7;1;2;7;7;7;1;5;2;7;6;6;1;4;5;5;7;6;7;6;7;1;5;1;7;1;5;2;7;3;4;7;6;6;7;7;2;7;5;6;7;7;7;6;7;7;7;7;7;6;7;7;7;7;7;7;5;6;6;6;1;6;7;7;5.0;0.0;4.2;0
P119;5;6;6;5;4;6;5;5;3;4;4;4;4;4;5;5;2;2;4;4;5;5;5;5;6;6;5;4;5;4;5;4;3;5;5;5;6;5;5;5;4;4;5;4;4;6;6;7;7;2;2;6;7;6;7;7;2;4;7;4;6;7;6;7;6;6;7;6;6;7;7;7;4;4;5;5.0;5.0;2.5;2
P120;3;7;4;6;3;4;4;5;4;3;4;4;4;4;4;4;4;4;4;4;4;4;5;4;5;4;4;3;4;4;4;3;4;5;5;4;4;4;4;4;4;3;5;3;4;4;3;3;4;4;5;4;3;4;5;4;4;3;5;4;4;4;4;4;4;4;4;4;5;3;4;4;4;4;4;4.2;5.0;3.8;2
P121;4;7;7;4;4;7;4;6;4;4;5;5;6;7;4;7;4;6;6;4;6;4;4;5;7;7;4;4;4;4;6;4;4;4;4;4;7;7;4;4;4;4;4;6;4;6;7;5;6;7;7;6;6;5;6;6;6;6;6;6;6;6;5;4;6;6;6;4;5;7;6;5;6;6;6;4.7;4.4;4.2;1
P122;1;7;1;7;7;7;7;7;5;7;7;7;6;7;7;7;7;7;7;7;5;7;7;7;7;6;7;7;6;7;7;7;6;7;7;7;7;5;7;7;1;7;7;7;7;7;7;7;7;7;7;7;2;1;7;7;6;6;7;7;7;7;7;5;7;4;7;7;6;5;7;7;7;6;6;0.8;0.0;0.0;0
P123;5;6;6;3;5;6;3;4;3;6;4;5;2;4;3;6;6;2;6;4;3;4;5;3;7;6;5;7;6;3;5;6;5;3;4;4;6;6;7;5;4;5;7;5;5;5;6;7;7;4;4;7;5;7;7;4;6;7;6;6;6;5;7;7;6;6;7;6;7;6;6;5;7;5;6;3.8;4.3;4.8;2
P124;4;6;7;7;7;5;5;4;4;4;4;6;4;3;4;4;4;4;4;4;4;5;6;5;4;4;4;4;6;6;5;4;7;5;3;4;4;5;3;6;3;4;5;3;4;4;5;4;3;4;5;6;4;6;6;6;5;4;5;4;4;5;5;4;4;5;6;5;5;5;6;2;4;5;5;5.0;3.8;5.0;1
P125;5;6;6;6;6;6;6;5;6;4;5;5;4;4;4;5;3;3;5;6;3;5;4;4;4;6;3;3;4;4;4;3;6;3;5;4;6;6;6;5;5;4;6;4;5;5;6;1;6;6;6;6;1;6;6;6;6;6;5;6;6;7;6;2;6;6;6;6;5;6;6;3;5;6;6;3.3;5.0;2.5;1
P126;1;7;7;7;7;6;4;6;7;6;7;2;4;1;1;7;1;4;1;5;1;5;7;5;2;7;2;2;4;7;7;4;7;2;7;5;1;6;7;5;6;6;7;7;4;3;6;1;4;7;7;7;4;7;7;7;7;5;7;4;4;7;7;7;7;7;4;1;7;7;7;7;5;6;6;4.2;5.0;5.0;1
P127;1;7;5;7;6;7;5;7;2;4;5;1;1;7;7;7;1;1;7;7;6;7;6;2;3;6;5;1;7;7;7;7;1;6;4;1;7;7;5;7;7;4;7;4;5;5;7;6;7;6;6;7;7;7;7;7;7;4;7;6;6;7;7;7;7;7;7;6;6;7;7;7;6;1;6;4.8;4.3;4.7;2
P128;5;7;2;2;6;7;6;3;4;2;1;3;1;5;6;5;1;1;6;2;3;4;6;7;4;5;4;3;5;5;6;5;2;5;1;2;5;3;1;6;1;6;7;4;4;5;6;6;7;3;1;7;7;7;7;7;5;6;7;3;7;7;7;6;7;6;7;6;6;7;7;5;6;7;5;2.5;0.0;0.0;0
P129;5;5;3;7;5;6;7;6;3;4;4;7;2;3;4;6;3;3;6;5;7;5;6;2;5;7;6;2;5;7;6;5;2;5;5;5;4;6;3;7;5;6;7;5;4;6;6;7;5;7;6;6;3;6;6;7;6;7;7;6;6;6;7;7;7;7;7;3;6;7;7;7;6;6;6;4.3;3.5;5.0;2
P130;3;6;6;7;7;7;4;4;5;3;5;6;7;3;4;6;3;7;2;6;3;7;3;5;4;7;4;2;6;7;7;3;7;3;4;4;5;5;5;6;6;6;5;5;4;4;5;6;7;3;3;6;2;7;7;4;6;3;7;2;3;5;6;7;5;4;7;4;7;7;5;7;4;5;3;3.0;1.4;2.5;0
P131;5;7;4;5;7;6;6;5;6;4;5;6;1;5;5;7;4;1;6;4;6;7;6;7;7;7;5;4;5;6;6;5;1;5;6;6;6;7;1;6;6;6;7;7;7;5;6;1;5;7;6;7;2;7;7;4;7;6;5;6;7;7;7;4;7;7;7;7;7;7;7;1;7;7;7;3.8;2.8;4.7;1
P132;5;5;7;7;4;4;4;6;6;2;5;5;7;5;5;5;3;7;5;4;5;4;4;7;6;7;5;4;4;4;4;6;2;4;5;6;6;5;4;5;5;5;5;5;5;5;5;5;7;4;5;4;2;6;5;5;4;4;1;6;6;7;5;5;5;5;5;5;5;5;5;5;5;5;5;4.4;4.4;4.7;2
P133;1;7;7;3;3;5;7;4;1;1;5;4;3;7;1;7;1;1;7;7;1;3;3;7;7;7;1;1;4;5;7;1;6;1;4;1;5;3;4;7;6;4;7;7;1;5;7;1;7;5;5;7;4;7;7;7;7;7;7;7;4;7;7;7;7;7;7;4;7;7;7;5;7;1;7;5.0;5.0;0.0;1
P134;3;4;5;7;4;6;5;5;7;6;5;5;6;4;2;5;3;6;4;7;2;4;6;2;4;5;5;4;3;7;6;3;7;3;6;5;5;5;7;6;4;4;6;5;5;5;6;2;6;7;7;7;5;6;7;7;7;5;7;7;7;5;7;7;7;7;6;4;6;6;7;4;6;1;7;4.0;4.9;5.0;2
P135;3;6;4;6;5;7;7;4;4;3;1;6;1;3;4;7;1;2;5;2;5;5;3;5;6;7;3;2;6;6;6;6;3;6;2;5;3;6;5;4;2;3;6;2;4;5;5;6;7;6;7;7;7;6;6;6;6;7;7;6;6;7;5;7;6;6;6;6;5;7;7;7;6;7;5;1.5;1.7;2.6;1
P136;6;7;5;5;7;5;4;7;4;5;4;2;6;5;1;6;1;3;3;5;2;2;7;4;7;7;2;3;7;4;5;7;7;6;2;1;6;7;7;7;3;1;7;7;5;3;7;6;5;3;3;6;7;4;5;7;7;2;5;3;5;6;7;6;3;5;7;1;4;6;7;1;5;1;5;3.6;3.8;1.8;1
P137;1;7;7;7;7;7;1;1;1;1;7;1;4;1;1;7;1;1;4;7;7;7;1;7;1;7;7;7;7;7;7;7;1;7;7;7;1;7;1;7;7;7;7;7;7;7;7;1;7;7;7;1;1;7;7;1;7;1;1;7;7;7;7;1;7;7;7;7;7;7;7;1;7;1;7;5.0;5.0;5.0;1
P138;5;6;6;6;4;4;4;5;6;7;3;3;5;5;3;5;5;6;4;5;6;5;5;1;5;5;5;7;5;6;6;5;7;4;3;3;5;4;6;6;3;3;3;6;4;3;5;7;4;1;1;6;7;5;6;4;3;4;7;1;5;3;4;7;4;6;7;3;3;4;5;7;2;4;1;4.5;0.0;0.0;0
P139;7;6;7;6;7;7;7;2;3;1;6;7;4;1;5;7;1;2;7;5;7;5;6;1;6;7;4;1;6;7;7;7;2;6;6;3;1;7;3;6;6;6;7;5;6;7;6;2;5;7;6;7;4;6;6;5;7;7;7;7;6;6;6;3;7;7;6;5;6;6;6;3;7;6;7;3.8;3.6;3.8;2
P140;1;7;7;7;7;7;7;7;4;4;5;7;5;7;5;7;3;7;4;5;5;5;6;4;6;7;7;3;4;6;6;6;5;7;6;7;6;6;6;5;7;7;7;7;7;7;7;1;7;7;7;7;1;7;7;7;7;7;7;7;7;7;7;1;7;7;7;7;7;7;7;2;7;7;7;5.0;5.0;3.4;2
P141;3;1;7;7;5;6;4;3;6;1;4;2;2;2;1;7;1;5;4;5;1;1;4;7;5;7;1;1;3;5;3;2;6;2;5;2;1;5;7;5;4;1;5;6;2;4;6;1;7;5;4;6;7;6;7;4;6;5;7;5;5;7;5;4;6;6;7;4;5;6;6;6;6;5;5;4.2;4.4;3.0;1
P142;7;5;1;7;7;5;5;5;2;5;6;5;1;3;4;7;5;1;6;5;6;6;6;6;6;5;5;6;2;7;5;5;1;5;5;5;7;5;1;6;5;5;7;5;5;5;7;7;6;7;7;6;7;7;7;7;4;3;7;6;5;6;6;7;4;4;4;6;5;6;5;7;7;7;6;1.6;0.0;0.0;0
P143;5;7;1;7;7;7;6;5;7;7;4;7;1;7;7;5;5;1;5;5;7;7;5;7;7;5;6;5;7;7;6;6;1;5;6;7;7;6;7;7;5;5;5;5;6;7;7;7;5;5;5;7;7;7;7;7;5;7;7;7;7;5;6;5;7;7;7;6;7;5;7;5;7;4;7;0.0;0.0;0.0;0
P144;3;6;7;7;4;6;5;7;1;6;7;6;3;5;4;7;4;5;6;7;5;5;4;7;6;7;5;1;3;7;6;4;7;4;7;4;7;7;6;6;7;7;6;5;6;5;7;7;4;3;2;7;7;7;7;7;3;7;7;2;6;7;7;6;7;7;7;5;7;7;7;5;3;7;4;4.2;5.0;5.0;1
P145;4;6;6;6;5;6;6;5;6;5;4;6;3;4;5;6;2;1;4;2;4;3;2;5;6;6;2;2;6;5;4;6;5;6;4;5;4;6;4;6;5;2;5;4;5;4;6;2;5;6;6;5;2;6;6;4;6;4;4;6;3;6;6;2;4;6;6;5;6;6;6;3;6;2;6;5.0;0.6;3.0;1
P146;1;7;5;6;7;7;6;6;5;1;3;4;1;1;1;7;1;1;6;3;4;5;6;5;4;6;6;1;3;6;5;5;4;3;4;5;2;7;4;7;3;5;7;2;4;7;7;1;6;6;7;5;6;7;7;6;7;6;6;7;6;7;7;6;7;7;7;6;7;7;7;6;7;4;7;5.0;4.4;2.6;1
P147;7;7;5;7;6;7;7;5;4;6;7;7;3;4;6;7;7;4;7;7;7;6;7;6;7;7;7;5;7;7;7;7;4;7;7;7;6;7;5;7;7;6;7;7;7;7;7;5;7;7;6;7;5;7;7;6;7;7;7;7;6;7;7;4;7;7;7;7;7;7;7;4;7;7;7;2.2;3.6;1.7;1
P148;5;6;5;5;6;4;7;5;6;5;5;4;4;6;5;6;4;2;6;3;7;4;6;2;6;6;5;1;3;5;6;5;2;2;4;5;4;4;4;7;5;4;6;5;6;6;6;2;7;6;6;4;5;6;6;6;6;5;4;6;6;7;6;3;6;6;7;5;5;7;6;2;6;4;6;3.5;4.7;5.0;2
P149;5;5;6;6;7;7;6;5;6;6;6;7;7;5;5;5;5;6;7;6;6;6;7;6;7;7;6;6;6;5;5;6;6;6;7;5;4;7;6;5;4;7;5;6;4;7;7;5;6;7;6;6;4;5;6;5;5;7;7;7;6;6;6;5;5;6;4;6;6;5;6;6;6;6;7;4.7;4.4;2.5;1
P150;4;4;5;6;5;6;5;5;5;4;4;6;6;5;5;5;4;6;5;4;4;5;5;4;5;6;5;3;5;6;6;5;6;5;4;4;5;5;6;6;4;5;6;4;4;5;5;3;5;6;4;4;3;5;6;4;7;3;3;5;6;5;5;3;5;5;6;6;6;6;6;3;5;4;5;1.2;5.0;5.0;1
P151;5;7;4;6;6;7;5;4;4;6;4;4;2;4;3;7;5;2;6;5;3;6;4;5;5;7;6;5;4;6;5;3;4;3;5;3;6;7;3;6;4;4;6;6;7;6;6;4;7;5;5;6;5;6;7;7;6;6;6;5;5;7;7;7;7;6;7;6;6;7;7;4;5;5;6;5.0;3.9;2.6;1
P152;5;6;6;7;5;6;5;5;4;3;4;1;2;6;1;6;6;2;4;4;6;5;7;3;5;6;2;1;2;6;6;2;5;1;5;2;3;5;6;6;4;3;6;4;5;4;6;5;7;4;3;5;7;5;7;5;3;4;6;2;4;7;4;7;6;4;7;5;4;6;7;6;2;3;2;4.3;4.7;5.0;2
P153;4;6;6;5;5;6;5;5;5;5;5;6;5;5;5;6;5;5;5;5;6;5;6;5;5;6;5;5;5;5;5;5;6;6;5;5;5;6;6;5;5;5;6;5;5;6;6;5;6;6;5;6;5;6;6;6;6;6;5;5;5;6;6;6;6;6;6;5;6;6;6;6;5;6;6;1.6;0.0;0.0;0
P154;7;7;1;7;7;7;6;5;3;7;5;5;1;6;7;6;7;1;7;3;7;6;6;1;7;5;6;6;6;6;6;5;3;5;4;5;7;5;2;4;4;5;6;4;5;5;7;4;7;7;5;7;4;7;7;7;6;7;5;6;6;7;7;6;7;7;7;6;7;6;7;5;7;5;7;3.3;0.0;0.0;0
P155;3;6;7;7;6;6;7;6;6;5;5;7;6;6;6;6;6;6;7;5;6;6;6;6;6;7;6;5;6;6;6;6;7;6;6;6;6;6;7;6;6;6;6;6;7;6;6;5;6;6;6;7;4;6;7;6;6;7;4;6;6;7;7;5;7;7;6;5;7;7;7;4;6;6;6;5.0;5.0;3.0;1
P156;1;5;7;7;7;7;7;7;7;7;7;6;6;7;7;6;6;6;7;6;7;7;6;6;7;6;7;7;6;7;6;7;7;7;6;6;7;6;7;7;6;6;5;7;7;3;2;4;5;5;4;4;4;5;3;5;5;5;4;4;4;4;5;5;4;4;4;4;4;6;6;4;6;6;6;0.0;0.0;0.0;0
P157;1;4;4;6;3;5;5;4;3;1;2;3;6;6;6;5;1;1;6;4;7;4;1;6;4;3;2;1;7;5;5;5;4;7;2;5;2;4;4;5;2;1;4;6;5;7;7;3;7;6;7;5;2;7;7;2;7;7;7;7;7;7;7;2;7;7;7;4;7;7;7;2;7;2;6;4.3;4.2;2.5;2
P158;7;7;6;4;7;7;6;7;4;7;7;7;2;5;7;7;7;1;7;2;5;6;7;7;7;7;5;7;6;7;7;7;4;7;7;6;7;7;5;7;3;6;7;1;7;7;7;1;7;7;7;6;2;7;7;4;7;5;7;7;7;7;7;2;7;7;7;6;7;7;7;2;7;2;7;5.0;5.0;3.5;0
P159;5;6;4;6;5;6;6;6;6;6;4;5;5;6;5;6;5;3;6;6;4;5;6;5;6;6;6;6;7;6;5;5;6;6;6;6;5;6;5;6;5;6;5;6;5;5;4;5;6;6;6;5;5;5;5;5;5;6;5;6;5;6;5;6;6;5;7;5;6;5;7;7;4;4;5;0.0;0.0;0.0;0
P160;3;6;2;7;6;5;7;2;5;7;5;7;1;4;5;5;7;1;4;5;5;3;5;7;3;5;5;1;7;7;7;6;2;5;6;5;5;4;1;5;7;5;7;7;6;7;7;1;7;7;4;7;6;7;7;5;7;5;5;5;5;7;7;5;5;5;5;6;7;7;7;5;5;5;5;5.0;4.4;4.7;1
P161;4;4;2;7;4;4;4;3;2;4;2;4;2;4;2;5;2;1;3;1;4;1;4;2;2;5;2;2;4;7;2;4;2;2;1;4;2;4;2;4;4;1;2;4;4;3;7;7;7;4;4;3;4;7;4;4;4;4;7;4;4;4;7;5;4;3;4;4;7;4;4;4;4;3;3;4.0;5.0;5.0;2
P162;1;4;5;3;3;5;2;3;2;2;4;2;4;4;2;5;2;4;5;2;2;3;2;2;4;6;2;2;2;3;5;2;7;2;1;3;3;5;6;5;1;2;6;2;4;4;5;7;7;3;3;7;7;2;5;7;5;2;7;3;2;6;3;7;5;5;7;4;2;5;6;6;4;2;2;5.0;4.7;4.5;2
